"game_id","play_id","play_out","reached_base_on_error","error","fielding_chance","launch_angle","exit_velocity","fielder_angle","fielder_distance","fielder_burst_distance","fielder_reaction_distance","fielder_routing_distance","fielder_jump_distance","start_player_angle","end_player_angle","start_player_position","end_player_position","fielding_zone"
717397,bca294a3-1ba7-456d-a64e-904abb941bdc,1,0,0,1,-16.779161,103.243433,119.552,29.01,17.479,7.092,1.092,23.072,-34.099,-34.113,105.073,105.052,Standard Back
717397,bebe4944-f4cd-4f56-bec1-afdd6992dbb6,1,0,0,1,-75.058560,62.294546,71.945,91.375,28.656,5.619,1.592,33.175,-32.822,-32.822,122.49,122.492,Standard Back
717397,e86368e1-4237-436f-8357-c0d06165c3bd,1,0,0,1,-14.285498,81.691541,102.084,21.269,16.359,7.685,0.666,22.893,-37.882,-37.882,118.587,118.531,Standard Back
717398,"262c6db3-8a47-44d9-aa09-da05a3d8cfb2",1,0,0,1,-8.704439,89.450145,-12.711,24.736,11.574,5.329,7.189,9.978,-38.562,-38.604,123.798,123.75,Standard Back
717398,a188bb4f-d83a-44ef-be82-e14a682aa5ed,1,0,0,1,-30.230289,64.530629,30.883,78.532,26.943,6.959,2.466,31.446,-37.624,-37.636,118.761,118.752,Standard Back
717398,bc89d35c-4ab1-438f-91ac-5626d0e185bc,1,0,0,1,-51.744681,72.274177,79.966,85.57,28.808,6.23,1.917,32.632,-38.473,-38.487,127.716,127.711,Standard Back
717398,c2e4ce4b-7b30-4278-9238-bc42f0c29607,1,0,0,1,-41.523650,68.999249,46.034,97.422,28.519,5.05,1.361,31.749,-34.689,-34.691,126.911,126.915,Standard Back
717398,fb93718a-7e5e-4be1-8ca8-ceb4c9c04ab2,1,0,0,1,-32.888597,100.383880,62.233,59.771,24.794,5.22,1.607,28.009,-37.358,-37.364,121.844,121.843,Standard Back
717399,"0a6091e1-030b-4f00-a25a-a49b98abba08",1,0,0,1,78.396871,82.146268,-9.504,100.847,29.434,6.561,1.424,34.204,-36.296,-91.543,122.744,79.716,Standard Back
717399,"829f0cd8-692b-4855-9428-160104832694",1,0,0,1,-25.848665,86.555356,65.678,14.219,12.826,5.915,2.951,15.399,-40.195,-40.194,110.174,110.175,Standard Back
717399,"96989e2f-8a2f-4ef4-a4f3-5358c05896d1",1,0,0,1,-34.119781,82.119465,129.196,26.771,20.054,9.136,1.432,27.228,-37.015,-37.016,110.207,110.214,Standard Back
